67108864,32287015140,17,43,21,84,35.4976,2.0
67108864,37797624019,11,30,33,81,34.5713,2.0
67108864,36844398298,17,41,27,89,37.7109,2.0
67108864,35723567207,14,39,14,83,36.0773,2.0
67108864,34480202635,11,28,13,86,35.1274,2.0
67108864,34947927211,18,46,23,88,35.0203,2.0
67108864,36600343318,13,22,35,85,36.5163,2.0
67108864,36482803258,12,31,37,86,36.0241,2.0
67108864,36111086361,12,45,17,82,35.4362,2.0
67108864,35984311498,14,42,30,80,35.0127,2.0
67108864,36016599653,11,27,14,80,34.7263,2.0
67108864,35828386541,16,37,30,80,34.4724,2.0
67108864,36585623937,15,34,22,82,35.3822,2.0
67108864,37363394917,14,53,23,89,36.0639,2.0
67108864,37377809728,9,28,27,83,35.1508,2.0
67108864,37660284749,13,46,44,84,37.2206,2.0
67108864,37075049954,16,44,18,84,35.4976,2.0
67108864,37374477319,14,31,34,81,34.5713,2.0
67108864,39453085315,17,43,28,89,37.7109,2.0
67108864,38219880000,13,37,14,83,36.0773,2.0
67108864,37455528020,13,29,14,86,35.1274,2.0
67108864,37728115298,18,40,24,88,35.0203,2.0
67108864,39356194106,12,23,31,85,36.5163,2.0
67108864,39127510720,13,32,37,86,36.0241,2.0
67108864,38298471897,12,46,18,82,35.4362,2.0
67108864,38189746418,13,44,31,80,35.0127,2.0
67108864,37687931501,11,29,14,80,34.7263,2.0
67108864,37340679471,17,38,31,80,34.4724,2.0
67108864,38156243999,14,30,23,82,35.3822,2.0
67108864,38527607815,13,49,19,89,36.0639,2.0
67108864,38477122678,9,29,28,83,35.1508,2.0
67108864,38588678792,13,44,37,84,37.2206,2.0
67108864,37750512273,16,45,19,84,35.4976,2.0
67108864,38120617243,13,32,35,81,34.5713,2.0
67108864,40467407530,17,42,28,89,37.7109,2.0
67108864,39187740239,14,38,15,83,36.0773,2.0
67108864,38078589140,12,26,15,86,35.1274,2.0
67108864,38217426699,18,29,19,88,35.0203,2.0
67108864,39703346694,15,20,32,85,36.5163,2.0
67108864,39531897953,13,33,38,86,36.0241,2.0
67108864,38902702407,11,47,15,82,35.4362,2.0
67108864,38684645492,14,43,32,80,35.0127,2.0
67108864,38085663850,11,30,15,80,34.7263,2.0
67108864,37802074194,17,35,27,80,34.4724,2.0
67108864,38363759313,16,31,20,82,35.3822,2.0
67108864,38964096775,13,51,20,89,36.0639,2.0
67108864,38870763278,8,27,29,83,35.1508,2.0
67108864,38825793723,13,45,38,84,37.2206,2.0
67108864,38234638454,17,42,19,84,35.4976,2.0
67108864,38363672289,13,28,36,81,34.5713,2.0
67108864,40468785357,16,43,29,89,37.7109,2.0
