67108864,21449942947,17,31,15,65,-30.8224
67108864,17780523046,26,26,19,66,-31.353
67108864,17824963659,23,34,21,67,-31.8381
67108864,17979557376,23,27,17,67,-31.3125
67108864,17829827118,26,40,19,63,-31.4268
67108864,18129097847,18,54,20,69,-29.6174
67108864,18148328637,15,15,21,65,-31.4136
67108864,18304891983,12,34,14,64,-30.5729
67108864,17980020920,25,38,17,63,-31.93
67108864,18509100161,16,35,11,66,-30.9279
67108864,18436398284,17,35,17,66,-31.7112
67108864,18151242701,21,29,26,60,31.7565
67108864,18696335028,15,36,13,67,-31.3569
67108864,18735351716,13,35,18,64,-31.012
67108864,19040331105,20,42,23,68,-30.7762
67108864,19670232871,11,34,28,65,-30.8537
67108864,19169427239,17,37,14,63,-31.5405
67108864,32145632676,15,30,17,65,-31.1384
67108864,32440823793,17,40,15,69,-29.9186
67108864,31402990246,20,29,10,66,-31.2034
67108864,31268364417,12,28,18,64,-31.3702
67108864,31856170412,8,34,13,67,-30.8106
67108864,31503665082,17,26,21,65,-30.8646
67108864,31951442542,17,30,10,68,-30.523
67108864,32397253757,18,36,19,65,-30.747
67108864,31581097582,21,34,10,64,-31.3903
67108864,32180800154,13,33,17,65,-31.3816
67108864,32837106688,15,28,13,68,-30.8331
67108864,31692681250,20,32,16,66,-31.2942
67108864,31678288012,18,40,12,65,-30.878
67108864,32660414219,18,37,12,68,-30.6261
67108864,32457924682,17,33,17,69,-30.4394
67108864,31340874419,16,31,19,62,-31.8301
67108864,31564528026,22,39,13,64,-30.8934
67108864,31319486799,16,39,19,65,-31.1142
67108864,31466778772,17,38,11,65,-31.2476
67108864,31466544977,12,38,31,68,-31.7327
67108864,30893321084,17,42,22,64,-31.4698
67108864,31706361235,16,43,17,66,-29.9549
67108864,32010744979,15,44,20,68,-31.2283
67108864,31576417905,22,36,15,69,-30.3546
67108864,30951595930,19,45,13,62,-31.7806
67108864,31520295860,14,34,20,65,-31.1134
67108864,32228359369,15,41,21,66,-31.111
67108864,32021954034,20,42,18,64,-31.4211
